=============================== Events ===============================

NUM  | NAME                   | TYPE     |
222  | NoteEvents             |          |
223  | AutomationData         | Pattern  | Control Events
224  | PatternNotes           | Pattern  | Notes Data
225  | InitCtrlRecChan        | Automate | Starting FX Param Values
226  | RemoteCtrl_MIDI        | Automate | Remote Control (from MIDI)
227  | RemoteCtrl_Int         | Automate | Remote Control (from Controller)
228  | Tracking               | Channel  | Channel Tracking (see Channel Tracking)
229  | ChanOfsLevels          | Channel  |
230  | RemoteCtrlFormula      |          |
231  | ChanGroupName          | Project  |
232  | RegBlackList           |          |
233  | PlayListItems          | Arrangem | Playlist Items (see PlaylistItem)
234  | ChanAC                 | Channel  | Automation Points
235  | FXRouting              | Mixer    | Routing to FX Numbers
236  | FXParams               | FXSlot   | Add FX Channel
237  | ProjectTime            | Project  |
238  | PLTrackInfo            | Arrangem | Track Info/Number (see Track)
239  | PLTrackName            | Arrangem | Track Name
240  |                        |          |
241  | ArrangementName        | Arrangem | Arrangement Name
242  |                        |          |
243  |                        |          |
244  |                        |          |
245  |                        |          |
246  |                        |          |
247  |                        |          |
248  |                        |          |
249  |                        |          |
250  |                        |          |
251  |                        |          |
252  |                        |          |
253  |                        |          |
254  |                        |          |

=============================== Envelope/LFO ===============================

int32  | Flags
int32  | Envelope: Enabled
int32  | Envelope: Predelay
int32  | Envelope: Attack
int32  | Envelope: Hold
int32  | Envelope: Decay
int32  | Envelope: Sustain
int32  | Envelope: Release
int32  | Envelope: Amount
int32  | LFO: Predelay
int32  | LFO: Attack
int32  | LFO: Amount
int32  | LFO: Speed
int32  | LFO: Shape
int32  | Envelope: Attack Tension
int32  | Envelope: Decay Tension
int32  | Envelope: Release Tension

=============================== Channel Params ===============================

int32  | ??unknown - usually: -1
int32  | ??unknown - usually: 0
int8   | ??unknown Flag
int8   | Remove DC
int8   | Delay Flags
int8   | Main Pitch
int32  | ??unknown - usually: -1
int32  | ??unknown - usually: 60
float  | DrumSynth Tone
float  | DrumSynth Over
float  | DrumSynth Noise
float  | DrumSynth Band
float  | DrumSynth Time
uint32 | Arp Direction
uint32 | Arp Range
uint32 | Arp Chord
uint32 | Arp Time
uint32 | Arp Gate
int8   | Arp Slide
1byte  | ??unknown - usually hex: 00
int8   | Time Full Porta
int8   | Add to Key
int16  | Time Gate
2byte  | ??unknown - usually hex: 0000
uint32 | Keyrange Min
uint32 | Keyrange Max
4byte  | ??unknown - usually hex: 00000000
int8   | Normalize
int8   | Reverse Polarity
1byte  | ??unknown - usually hex: 00
int8   | Declick Mode
uint32 | Crossfade
uint32 | Trim
uint32 | Arp Repeat
uint32 | Stretching Time
int32  | Stretching Pitch
int32  | Stretching Multiplier
int32  | Stretching Mode
uint32 | Midi Chan Thru
int32  | ??unknown - usually: -2
int32  | ??unknown - usually: -1
int32  | ??unknown - usually: 0
double | Start
double | Length
double | Start Offset
4byte  | ??unknown - usually hex: ffffffff
4byte  | ??unknown - usually hex: 00010000
double | Stretching Formant

=============================== Channel Poly ===============================

int32  | Max
int32  | Slide
int8   | Flags

=============================== Basic Params ===============================

int32  | Pan
int32  | Volume
int32  | Pitch
int32  | Mod X
int32  | Mod Y
int32  | Mod Type

=============================== Channel Tracking ===============================

int32  | Mid
int32  | Pan
int32  | Mod X
int32  | Mod Y

=============================== Channel Delay ===============================

int32  | Feedback
int32  | Pan
int32  | Pitch
int32  | Echoes
int32  | Time

=============================== Track ===============================

int32  | ID
int32  | Color
int32  | Icon
int8   | Enabled
float  | Height
int8   | Locked To Content
int32  | Motion
int32  | Press
int32  | Trigger Sync
int32  | Queued
int32  | Tolerant
int32  | Position Sync
int8   | Grouped
int8   | Locked
????   | ??unknown - usually hex: 000000000000000000FFFFFFFFFFFFFFFF0100000000

=============================== PlaylistItem ===============================

int32  | Pos
int16  | Pattern Base
int16  | Item Index
int32  | Length
int32  | Track Index
int16  | ??unknown
int16  | flags
int32  | ??unknown

if Notes or Automation:
	int32  | Start Offset
	int32  | End Offset

if Audio:
	float  | Start Offset
	float  | End Offset

=============================== Notes ===============================

int32  | Pos
int16  | Flags
int16  | Channel Num
int32  | Dur
int16  | Key
int16  | Group
int8   | Fine Pitch
int8   | ??unknown
int8   | Release
int8   | MIDI Channel
int8   | Pan
int8   | Velocity
int8   | Mod X
int8   | Mod Y


